# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.742      315.600       16.406       30.930
       0.745        0.000       20.227       37.066
       0.750        0.000       16.406       30.930
       0.753        0.000       16.406       30.930
       0.757      322.000       20.219       37.066
       0.760        0.000       16.406       30.930
       0.763        0.000       16.406       30.930
       0.766      321.200       16.406       30.930
       0.769        0.000       20.215       37.066
       0.772        0.000       16.406       30.930
       0.776      330.700       16.406       30.930
       0.779      291.500       16.406       30.930
       0.782        0.000       20.164       37.066
       0.785        0.000       16.406       30.930
